ticker,earnings_date,fiscalDateEnding,reportedEPS,estimatedEPS,surprise,surprisePercentage
CSCO,2024-05-15,2024-04-30,0.88,0.82,0.06,7.3171
CSCO,2024-02-14,2024-01-31,0.87,0.84,0.03,3.5714
CSCO,2023-11-15,2023-10-31,1.11,1.03,0.08,7.767
CSCO,2023-08-16,2023-07-31,1.14,1.06,0.08,7.5472
CSCO,2023-05-17,2023-04-30,1,0.97,0.03,3.0928
CSCO,2023-02-15,2023-01-31,0.88,0.86,0.02,2.3256
CSCO,2022-11-16,2022-10-31,0.86,0.84,0.02,2.381
CSCO,2022-08-17,2022-07-31,0.83,0.82,0.01,1.2195
CSCO,2022-05-18,2022-04-30,0.87,0.86,0.01,1.1628
CSCO,2022-02-16,2022-01-31,0.84,0.81,0.03,3.7037
CSCO,2021-11-17,2021-10-31,0.82,0.8,0.02,2.5
CSCO,2021-08-18,2021-07-31,0.84,0.82,0.02,2.439
CSCO,2021-05-19,2021-04-30,0.83,0.82,0.01,1.2195
CSCO,2021-02-08,2021-01-31,0.79,0.76,0.03,3.9474
CSCO,2020-11-12,2020-10-31,0.76,0.7,0.06,8.5714
CSCO,2020-08-12,2020-07-31,0.8,0.74,0.06,8.1081
CSCO,2020-05-13,2020-04-30,0.79,0.69,0.1,14.4928
CSCO,2020-02-12,2020-01-31,0.77,0.76,0.01,1.3158
CSCO,2019-11-13,2019-10-31,0.84,0.81,0.03,3.7037
CSCO,2019-08-14,2019-07-31,0.83,0.82,0.01,1.2195
CSCO,2019-05-15,2019-04-30,0.78,0.77,0.01,1.2987
CSCO,2019-02-13,2019-01-31,0.73,0.72,0.01,1.3889
INTC,2025-10-23,2025-09-30,0.23,0.0371,0.1929,519.9461
INTC,2025-07-24,2025-06-30,-0.1,0.01,-0.11,-1100
INTC,2025-04-24,2025-03-31,0.13,0.01,0.12,1200
INTC,2025-01-30,2024-12-31,0.13,0.12,0.01,8.3333
INTC,2024-10-31,2024-09-30,-0.46,-0.03,-0.43,-1433.3333
INTC,2024-08-01,2024-06-30,0.02,0.1,-0.08,-80
INTC,2024-04-25,2024-03-31,0.18,0.13,0.05,38.4615
INTC,2024-01-25,2023-12-31,0.54,0.45,0.09,20
INTC,2023-10-26,2023-09-30,0.41,0.22,0.19,86.3636
INTC,2023-07-27,2023-06-30,0.13,-0.03,0.16,533.3333
INTC,2023-04-27,2023-03-31,-0.04,-0.14,0.1,71.4286
INTC,2023-01-26,2022-12-31,0.1,0.2,-0.1,-50
INTC,2022-10-27,2022-09-30,0.59,0.33,0.26,78.7879
INTC,2022-07-28,2022-06-30,0.29,0.7,-0.41,-58.5714
INTC,2022-04-28,2022-03-31,0.87,0.8,0.07,8.75
INTC,2022-01-26,2021-12-31,1.09,0.91,0.18,19.7802
INTC,2021-10-21,2021-09-30,1.71,1.11,0.6,54.0541
INTC,2021-07-22,2021-06-30,1.28,1.07,0.21,19.6262
INTC,2021-04-22,2021-03-31,1.39,1.14,0.25,21.9298
INTC,2021-01-21,2020-12-31,1.52,1.11,0.41,36.9369
INTC,2020-10-22,2020-09-30,1.11,1.11,0,0
INTC,2020-07-23,2020-06-30,1.23,1.11,0.12,10.8108
INTC,2020-04-23,2020-03-31,1.45,1.26,0.19,15.0794
INTC,2020-01-23,2019-12-31,1.52,1.25,0.27,21.6
INTC,2019-10-24,2019-09-30,1.42,1.24,0.18,14.5161
INTC,2019-07-25,2019-06-30,1.06,0.9,0.16,17.7778
INTC,2019-04-25,2019-03-31,0.89,0.87,0.02,2.2989
INTC,2019-01-24,2018-12-31,1.28,1.22,0.06,4.918
AMD,2025-11-04,2025-09-30,0.75,0.68,0.07,10.2941
AMD,2025-08-05,2025-06-30,0.54,-0.05,0.59,1180
AMD,2025-05-06,2025-03-31,0.96,0.93,0.03,3.2258
AMD,2025-02-04,2024-12-31,1.09,1.09,0,0
AMD,2024-10-29,2024-09-30,0.92,0.92,0,0
AMD,2024-07-30,2024-06-30,0.69,0.68,0.01,1.4706
AMD,2024-04-30,2024-03-31,0.62,0.61,0.01,1.6393
AMD,2024-01-30,2023-12-31,0.77,0.77,0,0
AMD,2023-10-31,2023-09-30,0.7,0.68,0.02,2.9412
AMD,2023-08-01,2023-06-30,0.58,0.57,0.01,1.7544
AMD,2023-05-02,2023-03-31,0.6,0.56,0.04,7.1429
AMD,2023-01-31,2022-12-31,0.69,0.67,0.02,2.9851
AMD,2022-11-01,2022-09-30,0.67,0.7,-0.03,-4.2857
AMD,2022-08-02,2022-06-30,1.05,1.04,0.01,0.9615
AMD,2022-05-03,2022-03-31,1.13,0.92,0.21,22.8261
AMD,2022-02-01,2021-12-31,0.92,0.76,0.16,21.0526
AMD,2021-10-26,2021-09-30,0.73,0.66,0.07,10.6061
AMD,2021-07-27,2021-06-30,0.63,0.54,0.09,16.6667
AMD,2021-04-27,2021-03-31,0.52,0.44,0.08,18.1818
AMD,2021-01-26,2020-12-31,0.52,0.48,0.04,8.3333
AMD,2020-10-27,2020-09-30,0.41,0.36,0.05,13.8889
AMD,2020-07-28,2020-06-30,0.18,0.17,0.01,5.8824
AMD,2020-04-28,2020-03-31,0.18,0.18,0,0
AMD,2020-01-28,2019-12-31,0.32,0.31,0.01,3.2258
AMD,2019-10-29,2019-09-30,0.18,0.18,0,0
AMD,2019-07-30,2019-06-30,0.08,0.08,0,0
AMD,2019-04-30,2019-03-31,0.06,0.06,0,0
AMD,2019-01-29,2018-12-31,0.08,0.08,0,0
QCOM,2025-11-05,2025-09-30,3,2.87,0.13,4.5296
QCOM,2025-07-30,2025-06-30,2.77,2.71,0.06,2.214
QCOM,2025-04-30,2025-03-31,2.85,2.82,0.03,1.0638
QCOM,2025-02-05,2024-12-31,3.41,2.99,0.42,14.0468
QCOM,2024-11-06,2024-09-30,2.69,2.57,0.12,4.6693
QCOM,2024-07-31,2024-06-30,2.33,2.25,0.08,3.5556
QCOM,2024-05-01,2024-03-31,2.44,2.32,0.12,5.1724
QCOM,2024-01-31,2023-12-31,2.75,2.37,0.38,16.0338
QCOM,2023-11-01,2023-09-30,2.02,1.91,0.11,5.7592
QCOM,2023-08-02,2023-06-30,1.87,1.81,0.06,3.3149
QCOM,2023-05-03,2023-03-31,2.15,2.15,0,0
