ticker,earnings_date,fiscalDateEnding,reportedEPS,estimatedEPS,surprise,surprisePercentage
GOOG,2022-07-25,2022-06-30,1.21,1.3,-0.09,-6.9231
GOOG,2022-04-25,2022-03-31,1.23,1.29,-0.06,-4.6512
GOOG,2022-01-31,2021-12-31,1.53,1.38,0.15,10.8696
GOOG,2021-10-25,2021-09-30,1.4,1.17,0.23,19.6581
GOOG,2021-07-26,2021-06-30,1.36,0.96,0.4,41.6667
GOOG,2021-04-26,2021-03-31,1.31,0.79,0.52,65.8228
GOOG,2021-02-01,2020-12-31,1.12,0.8,0.32,40
GOOG,2020-10-28,2020-09-30,0.82,0.56,0.26,46.4286
GOOG,2020-07-29,2020-06-30,0.51,0.42,0.09,21.4286
GOOG,2020-04-28,2020-03-31,0.4935,0.519,-0.0255,-4.9133
GOOG,2020-02-03,2019-12-31,0.7675,0.6295,0.138,21.9222
GOOG,2019-10-28,2019-09-30,0.506,0.623,-0.117,-18.7801
GOOG,2019-07-25,2019-06-30,0.7105,0.5665,0.144,25.4192
GOOG,2019-04-29,2019-03-31,0.475,0.5315,-0.0565,-10.6303
GOOG,2019-02-04,2018-12-31,0.6385,0.541,0.0975,18.0222
NVDA,2025-11-19,2025-10-31,1.3,1.24,0.06,4.8387
NVDA,2025-08-27,2025-07-31,1.05,1.01,0.04,3.9604
NVDA,2025-05-28,2025-04-30,0.81,0.75,0.06,8
NVDA,2025-02-26,2025-01-31,0.89,0.85,0.04,4.7059
NVDA,2024-11-20,2024-10-31,0.81,0.75,0.06,8
NVDA,2024-08-28,2024-07-31,0.68,0.63,0.05,7.9365
NVDA,2024-05-22,2024-04-30,0.612,0.559,0.053,9.4812
NVDA,2024-02-21,2024-01-31,0.516,0.461,0.055,11.9306
